#class tools::histo::h1d
#title Gamma Energy Spectrum (662 keV region)
#dimension 1
#axis fixed 200 0.6 0.8
#annotation axis_x.title 
#bin_number 202
entries,Sw,Sw2,Sxw0,Sx2w0
1667,1667,1667,435.766,151.647
1,1,1,0.600806,0.360968
1,1,1,0.601338,0.361607
1,1,1,0.602129,0.36256
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.60601,0.367248
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.623794,0.389119
0,0,0,0,0
1,1,1,0.625074,0.390718
0,0,0,0,0
1,1,1,0.627724,0.394038
2,2,2,1.25776,0.790984
3,3,3,1.88835,1.18862
2,2,2,1.26073,0.794723
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.636646,0.405318
2,2,2,1.27572,0.813736
0,0,0,0,0
2,2,2,1.27918,0.818151
1,1,1,0.640438,0.410161
2,2,2,1.28373,0.823986
4,4,4,2.56958,1.65069
5,5,5,3.21871,2.07201
9,9,9,5.80273,3.74129
11,11,11,7.10051,4.58339
21,21,21,13.5793,8.78088
18,18,18,11.6547,7.54623
37,37,37,23.9959,15.5623
34,34,34,22.0822,14.3419
33,33,33,21.4665,13.9639
89,89,89,57.9878,37.7819
111,111,111,72.4258,47.2568
51,51,51,33.3295,21.7815
164,164,164,107.365,70.2875
497,497,497,325.785,213.554
127,127,127,83.3463,54.6977
36,36,36,23.6751,15.5698
298,298,298,196.253,129.246
116,116,116,76.4717,50.4132
2,2,2,1.32068,0.872102
16,16,16,10.592,7.0119
50,50,50,33.1,21.9122
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
